Date,Predicted_Sales,Lower_Bound,Upper_Bound,Actual_Sales
2003-01-06,21063.00787502409,-6619.458697857049,51456.08386539423,12133.25
2003-01-09,34407.43149810238,5653.980422107095,61630.055264795985,11432.34
2003-01-10,31602.682580074907,5408.321429512287,62312.94831315746,6864.05
2003-01-29,32938.83414200309,3448.0710208419473,60483.24930995842,54702.0
2003-01-31,35180.8868310984,6550.943748675222,63192.08746813179,44621.96
2003-02-11,37762.62035503823,9509.006714304121,65757.25063982858,58871.11
2003-02-17,49575.7569534219,22845.560345344693,80828.11315282357,56181.32
2003-02-24,33720.35737059891,4768.578000286632,62113.24492700095,25783.76
2003-03-03,30818.378304967682,2051.1636324600895,58134.57609374358,55245.020000000004
2003-03-10,25268.621356747044,-3025.498867237843,54815.40165486069,27398.82
2003-03-18,29094.647901412227,1144.241242896107,57206.3778060204,51017.92
2003-03-24,20086.889297909092,-7468.1358102435115,47383.44920193256,9749.0
2003-03-25,28591.528499954886,-837.9279731255235,55738.58751882483,18695.58
2003-03-26,25195.409363495568,-2476.9088708927325,54615.889181292514,12398.56
2003-04-01,29581.170300225953,439.5143675972282,60330.839233934865,38217.409999999996
2003-04-04,28923.784064792737,-353.63302106584297,56880.716645548644,24777.41
2003-04-11,28581.811331641413,-466.09530306751293,57774.5032228516,1711.26
2003-04-16,25627.788254958657,-4131.081989210376,53451.99901711346,43657.47
2003-04-21,21291.424325887394,-6935.511598510212,50088.40064582522,4219.2
2003-04-28,24383.411553668913,-7372.522779114436,52255.854025189525,38629.14
2003-04-29,33428.282675070004,2264.3009961179196,62885.19063201375,50397.66
2003-05-07,35175.90030197262,7153.173131399029,64318.03296381384,18971.96
2003-05-08,41954.66269313613,15581.277531961556,70433.65748168484,52481.84
2003-05-20,42210.898965443106,13053.940667115385,69065.08850014147,16560.3
2003-05-21,38636.1106059921,11484.117686869999,65766.36983301264,43585.8
2003-05-28,37520.104613640535,8464.052159749685,65291.313828983206,61073.21
2003-06-03,39540.08318344731,11767.043481159142,68657.0554852946,68462.15
2003-06-06,37738.890654510025,11217.215664346973,65524.92499580343,17448.08
2003-06-12,39071.565634594124,10232.319323355587,67044.68836482434,32376.29
2003-06-16,26222.014428331415,-2904.0534036047184,54280.47629537819,27628.3
2003-06-27,30849.192061682745,1767.5102518488825,60587.72348591297,22167.74
2003-07-01,32458.971874855913,5126.522270950619,58531.09312205142,25624.879999999997
2003-07-02,29304.07728547856,832.6820959702294,55148.871494867635,59280.51
2003-07-04,21497.88790433761,-6198.4242491663035,49351.75965843919,17251.08
2003-07-10,40229.55104307884,12431.98294158169,69335.36147866597,15146.32
2003-07-16,37679.434237714064,9130.139623543646,68578.8551798585,28397.26
2003-07-24,45522.19415591763,15138.0315028046,74841.16553822241,42031.83
2003-08-01,40459.59873109269,12858.529068543285,69747.82318164241,31569.43
2003-08-08,40368.40120178357,11370.471785269045,68651.23370473213,63088.16
2003-08-10,45184.85828877846,14749.142926180517,74252.36560467898,45738.39
2003-08-13,39662.63835124037,12758.202069186942,69633.09273499461,1637.2
2003-08-25,40595.27937012121,13274.715819534971,69271.6992657561,55776.119999999995
2003-09-03,41184.027415809775,11038.44445586396,69995.92956611085,7600.12
2003-09-05,41524.17690777508,13283.060995725415,69938.15392357185,34992.4
2003-09-11,36916.98677958464,6875.612167957155,64405.435029707216,47191.76
2003-09-12,31962.610496653946,3239.3862918961468,59471.03333053265,34100.03
2003-09-19,24849.264127830436,-5299.069588036368,54676.733696255156,44219.36
2003-09-21,28308.03580931952,-161.11862281293156,56519.0270481753,37501.58
2003-09-25,28202.120081041416,-2418.5929065319065,56669.79920499562,10640.29
2003-09-28,31150.06805175865,1112.7625440343868,61843.29402572848,47727.82
2003-10-02,35731.00037806105,7498.50929983367,64599.42368189426,5142.15
2003-10-04,19854.73336029499,-8378.986627238162,48742.05919620944,27257.79
2003-10-05,41541.26525435308,12794.190160263202,70156.07388399728,45078.76
2003-10-06,31622.50170810098,4190.1282959752625,60092.50519737258,68880.70999999999
2003-10-08,40406.10901907155,11120.395251748678,68811.88293678896,5774.48
2003-10-10,46963.60553272457,16966.334923811108,75650.01584817386,63972.95
2003-10-11,33272.001918886155,2696.276737686618,59387.05180637595,24159.14
2003-10-17,59358.12420027696,30072.650617945103,88339.95555646672,40321.61
2003-10-18,45138.87471387771,16171.930370827286,72397.30786916315,33180.59
2003-10-20,55705.05116190781,27188.566348491717,85208.37558224208,25284.75
2003-10-21,65180.5316775065,36616.21997812965,91839.80326226508,40412.28
2003-10-22,62565.36160128412,34461.05683431888,91291.14151367566,77809.37
2003-10-23,69549.07191427222,40478.76022798993,99780.27071440303,48710.92
2003-10-28,68629.53197357745,40210.09322126797,97407.23782219204,62305.47
2003-11-04,66393.39862532899,37072.79427916954,92299.20828219339,56730.1
2003-11-05,62269.422915706484,32198.650613859383,91051.23458553765,82140.8
2003-11-06,67848.9892121974,39793.15402884614,97166.38874290817,114456.85
2003-11-07,63598.61603763836,34137.04313960552,92311.5282284941,34311.35
2003-11-08,47285.99041812251,19510.169638787498,77108.28589938898,38098.24
2003-11-11,52106.61049119454,23818.997173186763,79630.43246523518,48874.28
2003-11-12,57722.05997337064,28420.880161765734,87227.81298197096,111156.73
2003-11-13,63371.00928446049,34562.9106349674,91660.33844961037,40061.659999999996
2003-11-14,59255.840170353,32473.382405518394,88516.17179653628,131236.0
2003-11-18,58544.98000064432,28202.475598443823,87908.5141413459,38993.82
2003-11-19,54749.75054755695,26317.84224332886,82031.13009820873,10986.56
2003-11-20,60739.04568348867,30477.41599591213,86170.19750265927,95344.63
2003-11-21,56958.79215841623,29551.004504610497,84820.12018151727,37878.55
2003-11-25,57312.03725125511,28505.915766094276,85517.7241104977,80218.06
2003-11-26,53661.757120966504,24064.890781900238,81527.1192205914,86508.07
2003-11-27,21622.83268811853,-8805.949547494047,50520.190744498024,22841.96
2003-12-01,47551.26449820098,17361.00613668676,77062.81506345455,33666.44
2003-12-02,55562.426329057,24337.70645862906,84185.03628740135,109432.27
2003-12-03,51529.99592566619,24036.73759694696,81810.73349951832,16384.76
2003-12-05,52858.58908132841,21101.210738977497,80396.39775752164,38662.21
2003-12-09,49965.016445201,20866.91869230492,77304.58836003886,63730.78
2004-01-02,26422.053765219014,-3222.4728149287907,55593.04360124531,54536.87
2004-01-09,30726.14686987371,448.25960231456685,61230.68150044323,23889.32
2004-01-12,25466.895437267263,-5477.656644800641,54528.64227797754,50490.64
2004-01-15,38542.75100989574,12500.8623716825,68451.00362378045,51172.65
2004-01-16,35467.09080005899,7844.604830976691,62909.33736963836,65165.17
2004-01-22,40434.76688915272,10662.895977768,70954.5880291835,8477.22
2004-01-26,28826.51561850274,707.9931822576791,57265.376726040384,24995.47
2004-01-29,39307.13684482249,9967.108552986281,67514.45524748662,37850.08
2004-02-02,27521.122534434402,-1196.7011993347896,53322.94952348146,5759.42
2004-02-04,32396.675208037115,3024.0888532804456,58081.32729133768,24219.59
2004-02-10,37322.1143770453,10742.897420082547,67311.91826105119,16118.48
2004-02-12,40918.72615351635,12798.826135903404,68767.31354834643,38784.47
2004-02-18,37597.23019104601,8741.402816915617,64346.20333794695,18800.09
2004-02-19,44196.1603706854,16349.47504937073,72555.26254903058,61617.01
2004-02-20,40921.6738462799,14425.031948786222,68407.4255170167,49637.57
2004-02-21,25518.65485335436,-3337.0146796400145,54774.007068095925,20178.13
2004-02-22,45574.84763983569,17069.187810126543,74442.23298281126,50432.55
2004-02-26,44634.853007036036,17445.086019353614,74678.26753416995,25872.22
2004-03-02,39508.8726991782,11484.044762621887,68306.1451506737,46802.270000000004
2004-03-10,29665.981406719664,2866.6781414398374,57981.20667011575,21782.7
2004-03-11,35141.95182886282,7518.938484565935,64249.87591095703,48922.770000000004
2004-03-15,21591.710550570075,-8309.894659446712,47017.83312853564,37266.49
2004-03-19,27863.5065993422,-744.0498175065795,58334.31783902798,15330.7
2004-03-20,12078.163147937485,-16796.642278543295,39806.82237171022,26906.68
2004-03-29,20905.144524078292,-7530.187508735202,50359.18243195268,8722.119999999999
2004-04-02,28925.233373717812,823.0336083850647,57729.53483140121,31302.5
2004-04-03,13335.404459012405,-13776.66216447642,41085.752912697906,7287.24
2004-04-05,21461.589772389652,-4183.60281183628,50714.71155363657,24804.34
2004-04-09,28768.47699573395,3347.0087885425987,58570.63717881941,31329.56
2004-04-12,20934.626280472356,-8700.896584090713,48312.82733168657,17813.4
2004-04-13,29295.669560015358,1184.0152131109048,56304.36567270985,56455.66
2004-04-20,29718.344445870724,-1299.632603296261,60179.09049900705,1698.78
2004-04-26,23705.33286297464,-4056.529071045503,52948.442470823706,7129.0
2004-04-29,36686.52110577654,5195.881777025542,67220.00574681979,28327.64
2004-05-04,37361.78116304883,9221.56041053179,68049.1970881387,36973.31
2004-05-05,34484.72137371869,5152.407885524485,63950.290567980206,72335.98
2004-05-07,38313.04250635527,9541.635506791692,67745.33995784704,45357.659999999996
2004-05-08,23205.676675467566,-4046.571343134153,53117.64624220059,14380.92
2004-05-11,41075.72081916353,13426.338995243432,68015.80828375286,48472.24
2004-05-18,42319.15615592866,14803.153656730248,73340.23272222061,27987.07
2004-05-26,37856.55911773155,8194.818795468527,65345.314816017206,27931.21
2004-06-01,39960.378439453045,11069.274572872555,67731.5663270996,50408.25
2004-06-04,38206.790988951194,8124.41119227631,67478.26942088743,5416.9
2004-06-08,37739.204318109776,9610.664445302114,66005.91315857186,4749.45
2004-06-14,26815.810384658216,-2273.6036327829233,55221.90866611291,16128.1
2004-06-15,34818.664316542556,8067.508870750739,65032.7338641651,71717.47
2004-06-17,36664.124474996715,8491.112288267543,68537.94132836531,24564.53
2004-06-24,34597.47787938994,6194.427704281772,63315.18569195129,50010.65
2004-06-28,23522.734604837253,-6234.0424937217595,53265.67029609734,44130.520000000004
2004-06-30,28912.22762144901,54.84993727887752,57318.87368316329,19548.35
2004-07-02,32299.942263043875,4370.609962102821,62445.6945196143,12334.82
2004-07-06,35407.556622179334,6257.15624411135,64387.35993999231,56421.65
2004-07-07,32540.085923859402,2097.0145962560987,63236.140487519595,23252.18
2004-07-16,40710.59884515035,13342.882328496908,70112.29516224608,6693.280000000001
2004-07-19,34143.93998864093,5025.2763604881075,63892.671467896434,41297.14
2004-07-20,42768.953580039626,13015.258481347464,72485.53374881296,68270.84
2004-07-21,39359.32024390527,10926.6418430822,68491.93670865707,62871.28
2004-07-23,42014.594041775046,12983.234464991549,70356.36743003658,56002.9
2004-08-02,32692.88834285812,6625.990196970175,62587.19443581364,52505.36
2004-08-04,37473.2561135505,8709.292251931873,65729.59534682671,3127.88
2004-08-06,40214.00677687816,10947.396166123775,67755.1623061612,34453.85
2004-08-09,33361.6420573373,5490.658249295077,62052.92794347357,21986.27
2004-08-17,46072.84028448351,17624.599193639973,72104.52689435678,56078.26
2004-08-19,49938.062473803155,21255.047598615743,77680.12255308001,44781.35
2004-08-20,46865.26839818468,16921.10324516135,74805.17804438098,96139.5
2004-08-21,31670.4449276414,3160.6978976487044,59735.494764214054,34145.47
2004-08-27,48003.194754891905,19917.304790899,75883.79973301369,48828.72
2004-08-28,32037.481836567036,6224.039720546031,59562.2687747233,2173.6
2004-08-30,39101.37371366262,12219.607372995151,69879.18289876207,67281.01
2004-09-01,42456.73949546939,13725.408314961898,70662.85083180931,42902.840000000004
2004-09-03,43050.16976976299,14944.06138462328,71731.77995979748,16363.099999999999
2004-09-07,38829.19042309081,11825.811421668339,68355.17683295715,7673.379999999999
2004-09-08,33905.18716109959,4060.1444611245083,64297.21152862998,93717.43
2004-09-09,38713.83500325914,11589.242576241457,67615.59201993542,38039.0
2004-09-10,33716.24503889457,6062.525520900612,60976.44324734816,20037.24
2004-09-15,24851.80222232034,-3680.491520816778,53843.99616490109,34993.92
2004-09-16,30115.592876346404,1233.9470524113274,59173.915584572256,18971.96
2004-09-27,19132.732252273872,-10694.795745400614,47603.8241941712,5307.9800000000005
2004-09-30,33894.02158045974,5484.535917102613,61784.26348659524,42744.06
2004-10-06,38008.619494226965,9409.762977781498,67088.89011401308,3220.88
2004-10-11,54755.24389706971,24822.703557220593,82115.25649488998,59074.9
2004-10-13,51453.95062171254,22797.465928631835,78677.77070979959,54251.66
2004-10-14,59418.26548831721,31534.84065641112,87951.30876496148,85272.92
2004-10-15,57481.54395524478,29666.88696225883,86608.8010981038,66642.72
2004-10-16,43386.60787327383,12546.057466290044,70814.62811659828,103815.53
2004-10-21,68627.5845984089,41569.7410228718,96635.65818893144,63075.08
2004-10-22,65837.20264185301,37300.13996132089,93720.5741202596,96850.65
2004-10-29,67665.49063258838,40076.175607445926,96964.80844789841,20719.91
2004-11-01,59168.581858200894,30034.3104351686,89014.69112771274,85880.76
2004-11-02,67130.44681575403,37139.44713012297,96201.05865183673,46956.93
2004-11-03,63064.27061378648,33416.919506538106,92056.03348391877,51045.5
2004-11-04,68693.21182973927,41865.881708419525,94768.9048126378,105074.98
2004-11-05,64469.521790446604,35399.38004306598,94938.80145078816,106240.69
2004-11-09,62695.09247902871,35824.57979510413,91665.56856613129,20146.32
2004-11-10,58527.18091428377,28714.515505915882,88845.44214769588,24078.61
2004-11-12,59961.107027220154,30926.951258601504,86900.85045458953,41696.69
2004-11-15,50941.57032964961,21499.24383196732,78922.01540977787,53152.28
2004-11-16,58995.52957528104,30866.37958005565,88197.08428513483,15928.75
2004-11-17,55135.85498748656,26046.426212352006,81400.59203760617,97958.38
2004-11-18,61071.83257819325,30894.063250876683,90685.2595461334,30348.72
2004-11-19,57253.375670802445,27853.760233634235,85354.91682758143,34655.78
2004-11-20,41407.11614342052,9645.275706671455,70153.93130844203,56812.67
2004-11-21,61168.36910744385,33943.480387168056,92621.28010048672,27733.04
2004-11-22,49229.21249683373,21005.982185507615,78614.11785717294,13463.48
2004-11-23,57568.588573988614,29345.920386944745,85930.99373653195,55888.65
2004-11-24,53934.00329018843,26021.67312150982,82859.55635644466,137644.72
2004-11-25,21857.896103800547,-7030.763578018775,52321.40437699921,22448.54
2004-11-29,48136.50245767741,19093.794737444336,77827.10139567521,61892.52
2004-12-01,52373.71226071572,22640.76839305271,79695.72680979784,41706.52
2004-12-02,58153.711840859796,30062.76984296014,88326.58691143927,52269.17
2004-12-03,53989.35528154227,25347.397625686983,84400.03459074863,25268.43
2004-12-04,37604.93571988719,10602.374216591572,66339.2609426354,29343.35
2004-12-07,51667.539067634505,23025.60940691135,80191.40214291084,29884.13
2004-12-09,52186.346627645755,23117.836705229587,79802.94743578242,32623.93
2004-12-10,47335.85081531947,20796.4647250287,75281.92059289076,93587.56
2004-12-15,37626.4831383058,8015.067058743608,66506.75684095392,30214.42
2004-12-17,37328.475904642466,8585.301695956317,65035.736397362874,37905.15
2005-01-05,26233.73750281871,-2958.8751975136547,57019.5085022766,13529.57
2005-01-06,33305.1203744255,5942.4794179922565,61002.63687121947,53690.93
2005-01-07,30407.870079171335,2730.0177665368938,57487.70291989577,11021.3
2005-01-10,25099.842358131744,-2391.2634513616376,54554.59873303345,16628.16
2005-01-12,31657.429811373797,1760.3173740342281,59615.25579173789,44273.36
2005-01-19,34975.230722033826,7770.081710181749,63663.14109871577,15702.09
2005-01-20,41513.279398472994,12824.195767999514,68750.4742084135,61326.95
2005-01-23,42188.09328192738,14078.722395314811,72493.22810763225,36124.27
2005-01-26,34621.98855029942,5719.31503158559,62864.16301873341,38191.39
2005-01-31,28577.876073242147,-1380.6030856766636,56855.06670326816,49055.4
2005-02-02,33502.91661015839,4696.187373231946,62582.92385786051,21730.03
2005-02-03,39948.09300919729,13671.522129490317,67342.51916616711,59617.4
2005-02-08,38217.274168667245,9846.63225116049,66112.92823452987,3987.2
2005-02-09,34966.85915458039,7559.479284894844,63255.916983435614,26422.82
2005-02-10,41876.44236105019,12760.932240702385,69301.87865294759,51775.47
2005-02-16,38572.59336487232,8878.899291229667,66395.96896874715,38360.4
2005-02-17,45527.97150490116,14001.429651895422,74635.387338008,92236.97
2005-02-22,44137.23776443355,16253.731960053146,72403.68850768637,41249.74
2005-02-23,40482.63071911381,11863.438373539413,69752.10268190893,17707.67
2005-02-28,33936.79624483701,5958.3225003623265,65188.09185212218,5098.48
2005-03-01,42210.82198278375,12587.831805933216,71319.56718009974,53815.72
2005-03-02,37882.51877695185,9675.19037636545,67176.52763912515,4175.6
2005-03-03,43695.64827668112,14525.662261126863,71723.8852056189,69164.38
2005-03-04,39169.504613495,11989.309826117295,68277.04815445367,61133.28
2005-03-09,32218.933137650394,2561.8732388868357,60824.28545987611,35160.25
2005-03-10,37943.64265110782,9143.693789341492,67449.11469023887,8775.16
2005-03-15,31781.45016412119,1942.3171659803882,61091.49533222411,22353.86
2005-03-17,33788.80300245597,3848.3915663564962,61963.41694939879,20321.53
2005-03-23,26476.230801634236,-3270.0856390418407,55075.19992063254,32194.79
2005-03-28,21961.31242132821,-5028.284983870148,47092.63387663901,15139.119999999999
2005-03-30,27525.72612892681,-2913.2013986064717,57217.548549909974,52029.07
2005-04-01,30611.809699484722,2442.6653974605515,58001.85909332181,37526.84
2005-04-03,35323.612438212454,5767.984724168284,63217.38103024904,46519.0
2005-04-07,34657.871153574066,8197.226282092732,65975.50682157662,14066.8
2005-04-08,30774.404681107353,2347.044723283039,58434.40642301195,40802.81
2005-04-14,34142.951830822676,4857.535115491335,63913.805723495665,35680.35
2005-04-15,30280.552499099922,1983.2713398236376,60246.68099282535,26012.87
2005-04-22,31452.99815447423,1848.1070494317717,60896.632425385134,58437.04
2005-04-23,15069.207429496466,-14274.826983926276,40840.450055164285,2587.58
2005-05-01,41483.39192333436,14151.512296099416,70486.14802260626,33692.97
2005-05-03,39371.8504365104,11900.33322229901,68514.46334957365,52287.74
2005-05-05,43744.233665587264,15999.87397384813,73861.92997124126,31648.47
2005-05-06,40562.15794191661,13015.420952907318,69257.78841619934,48316.89
2005-05-09,34240.147568649154,6254.597775554225,60978.711554324305,14378.09
2005-05-10,43875.8677704364,16022.579372113789,72874.4391751238,41509.94
2005-05-13,44108.53460704082,16737.295018206725,73657.53369413539,31821.899999999998
2005-05-17,45857.289092572835,16635.053359605387,73421.80678524861,59475.1
2005-05-29,48128.06613399989,19709.520000264358,76453.2155578647,51233.18
2005-05-30,19108.82721680148,-10378.580031565503,47676.30828325122,14578.75
2005-05-31,43972.33372126511,14594.394454603515,73855.82027517381,78918.03
2005-06-01,39861.78154035184,12136.549395086186,69008.62500977909,
2005-06-02,46379.45966079049,18650.882476992552,74715.16212224631,
2005-06-03,42165.475958205694,12767.622207265647,69628.03711950214,
2005-06-04,24749.31150086989,-1583.4454425813133,53474.12496548078,
2005-06-05,46185.69364072614,17133.17462566157,72925.5276346431,
2005-06-06,32936.39120438836,5749.502602789412,62227.119131359876,
2005-06-07,41815.689018955425,14851.93914994622,69177.51170706263,
2005-06-08,37581.25361182063,8103.318308878155,66289.30792948107,
2005-06-09,44002.10118444445,15702.901682138712,73644.39758945463,
2005-06-10,39653.512902216666,12714.42032835215,67760.9200572376,
2005-06-11,22060.05828542367,-9239.222445164804,51203.07996022719,
2005-06-12,43442.28251350789,14754.753511488352,71594.21470911404,
2005-06-13,30037.145072044164,268.55294234261663,57607.599687704365,
2005-06-14,38840.86656245599,8925.653729725458,66837.94940448065,
2005-06-15,34506.77982543392,3890.402465227818,62850.441301772946,
2005-06-16,40883.53502639727,10737.99810727214,71988.88662285965,
2005-06-17,36485.494843666136,7890.867526517585,63398.122303644406,
2005-06-18,18835.150221269614,-10818.997489575238,48353.9119788532,
2005-06-19,40320.476977795675,11480.711627934015,68420.95494107544,
2005-06-20,26953.910966376876,-2646.9226904498846,54890.21386188297,
2005-06-21,35912.50217967414,8635.770114804429,66180.6877629731,
2005-06-22,31742.73098240522,3050.531544008299,59988.87837637258,
2005-06-23,38368.97603108189,9038.144617882645,67497.86147968576,
2005-06-24,34239.46106842716,6930.864360213056,64423.900664158245,
2005-06-25,16868.179263454367,-10831.051630595512,46296.77256457637,
2005-06-26,38803.077008700144,10016.05220521184,68689.114361349,
2005-06-27,25823.760965934765,-514.9713879290603,53980.35971739331,
2005-06-28,35279.18696096108,8828.100952350356,62277.295638073745,
2005-06-29,31599.69452679426,2591.3359530836256,59346.525675972756,
2005-06-30,38776.00928898946,8537.751274166094,65874.61206027046,
2005-07-01,35181.02349578879,6205.928753863928,65073.35613805898,
2005-07-02,18311.513217745724,-10666.610008829739,45785.44867734456,
2005-07-03,40867.42721734802,11156.174092819785,70666.43547176119,
2005-07-04,15790.508702106385,-13970.663755188121,42481.169984621185,
2005-07-05,38390.160127193514,11760.547411134092,68565.02841951307,
2005-07-06,35182.10341533709,4567.712055263517,64754.113763882466,
2005-07-07,42818.89111721353,13288.114873470658,69712.51269144175,
2005-07-08,39597.24869291841,9608.307008713206,67727.91844617434,
2005-07-09,22997.746183296185,-5221.189153532362,52298.387340007444,
2005-07-10,45875.222603294176,14884.946809994482,75375.48024806542,
2005-07-11,33534.46050408123,6270.932454129505,61172.10366465731,
2005-07-12,43663.34911668628,15828.807484172941,71420.95375769622,
2005-07-13,40459.64717191595,12102.02919834835,69801.99801902211,
2005-07-14,48051.2220094726,19024.92344858782,77065.27236251878,
2005-07-15,44669.53411331673,14993.820760300487,74819.63104480822,
2005-07-16,27790.841599337335,1103.0150612283398,56027.52306532315,
2005-07-17,50437.46597336279,23270.209160028302,79575.60648582074,
2005-07-18,37692.11987964756,10534.962085494219,67274.87346127881,
2005-07-19,47428.43347731403,16631.446315771725,74476.96370654283,
2005-07-20,43744.67383717614,16241.557881497978,73067.2384423936,
2005-07-21,50854.171906795185,21958.287977616383,80949.82042426059,
2005-07-22,46934.21709745315,18487.423654234477,76855.83065558385,
2005-07-23,29466.56398817358,-1878.8770884803632,56363.831396363275,
2005-07-24,51649.25771841742,23528.687356847804,80011.04306935064,
2005-07-25,38349.370326653014,11842.300545974631,66505.55543052284,
2005-07-26,47630.69000725237,19337.491821745498,73983.8283094511,
2005-07-27,43494.246941775455,13637.901594090932,72079.35992006455,
2005-07-28,50238.83283546231,23951.597700721657,79201.529774066,
2005-07-29,45985.268329265666,17349.1206738415,72978.08697420315,
2005-07-30,28216.234397585686,-97.82621927806522,57778.18281019367,
2005-07-31,50298.73960804667,21127.828876366042,75899.05693131722,
2005-08-01,36875.405473148465,9377.070420536777,65422.17961299344,
2005-08-02,46189.51406642339,16617.158657343025,74305.5191032069,
2005-08-03,42132.58618913916,13828.037920768616,71004.37162349002,
2005-08-04,49075.28379504013,19236.000516507218,77796.32372682403,
2005-08-05,45067.37773650106,16285.09588807559,73428.36550500891,
2005-08-06,27577.260309621677,-280.01589755454347,55874.03838521538,
2005-08-07,50125.43072613858,19662.389040142167,79391.63876510349,
2005-08-08,37114.71610303183,8365.321560961838,65946.61319649113,
2005-08-09,46953.064420622526,18312.875231067268,77581.85470692434,
2005-08-10,43408.552410286786,13547.458113647599,72121.18149280267,
2005-08-11,50911.02892423878,21105.884227966748,81435.44849293368,
2005-08-12,47428.11249952167,18663.246264694437,75713.870025376,
2005-08-13,30404.67745151954,2477.0581755432722,58573.648642670276,
2005-08-14,53507.605320736984,24690.852545865,82668.18430520456,
2005-08-15,40895.138228805736,12564.660130685847,68814.23388230636,
2005-08-16,51137.557797681045,22967.777040685836,78336.15162009098,
2005-08-17,47879.703646418966,19388.43583790599,77088.33976633135,
2005-08-18,55613.37678420071,26697.924153544438,84106.53120298302,
2005-08-19,52229.32377291409,22760.684461683177,81630.91977988971,
2005-08-20,35156.591960897495,6687.7702290559655,64868.1880379063,
2005-08-21,58218.38397538854,30774.232662116243,85784.55481060226,
2005-08-22,45340.326138510056,16134.19792894204,73078.89948087475,
2005-08-23,55268.76717160137,25949.282226140378,82205.30579420732,
2005-08-24,51540.49896551312,22279.145275481285,79562.3920145773,
2005-08-25,58725.57723512862,28670.394201501633,88315.85878725098,
2005-08-26,54654.92363399748,25952.930509875874,83059.9859309737,
2005-08-27,36759.16471889878,8183.698388542067,66838.7516196998,
2005-08-28,59035.196774764394,29802.256904698992,88166.23429855471,
2005-08-29,45192.97881687682,16737.711297438596,74960.15677335727,
